prognosis,Medication,Diagnosis,Recovery
Fungal infection,"Antifungal medications: clotrimazole.
econazole.
miconazole.
terbinafine.
fluconazole.
ketoconazole.
amphotericin.",Doctors usually diagnose the infection by scraping scaling skin off of a person and inspecting it under a microscope for evidence of any fungus. There are a few different fungi that can cause athlete's foot. The infection may behave differently depending on the specific fungus that is infecting the skin.,Medium-term: resolves within months
Allergy,"Antihistamines
Cetirizine (Zyrtec, Zyrtec Allergy)
Desloratadine (Clarinex)
Fexofenadine (Allegra, Allegra Allergy)
Levocetirizine (Xyzal, Xyzal Allergy)
Loratadine (Alavert, Claritin)","Skin Prick Test (SPT) Skin testing can confirm many common types of allergies.
Intradermal Skin Test.
Blood Tests (Specific IgE) ...
Physician-Supervised Challenge Tests. 
Patch Test.
","They may take a few hours to a few days to disappear. If the exposure to the allergen continues, such as during a spring pollen season, allergic reactions may last for longer periods such as a few weeks to months. Even with adequate treatment, some allergic reactions may take two to four weeks to go away."
GERD,"GERD Treatment: Medication
Antacids. Over-the-counter antacids are best for intermittent and relatively infrequent symptoms of reflux. ...
Histamine blockers. Histamine 2 (H2) blockers are drugs that help lower acid secretion. ...
Proton pump inhibitors. ...
Prokinetic agents.
","Your doctor inserts a thin, flexible tube equipped with a light and camera (endoscope) down your throat, to examine the inside of your esophagus and stomach. Test results can often be normal when reflux is present, but an endoscopy may detect inflammation of the esophagus (esophagitis) or other complications.","To heal RO, potent acid suppression for 2 to 8 weeks is needed, and in fact, healing rates improve as acid suppression increases."
Chronic cholestasis,"Cholestasis often does not respond to medical therapy of any sort. Some reports indicate success in children with chronic cholestatic diseases with the use of ursodeoxycholic acid (20-30 mg/kg/d), which acts to increase bile formation and antagonizes the effect of hydrophobic bile acids on biological membranes.",Perform a physical exam. Order blood tests to check how well your liver is working and measure the level of bile salts in your blood.,"If the cause of cholestasis is a blockage from gallstones, those can be surgically removed, and relatively quick and full recovery can be expected. If the cause is damage to the liver from chronic alcohol use, the result may be liver cirrhosis, which may be too severe to expect any type of quick recovery."
Drug Reaction,"Withdrawal of the drug. If your doctor determines that you have a drug allergy — or likely allergy — discontinuing the drug is the first step in treatment. ...
Antihistamines. ...
Corticosteroids. ...
Treatment of anaphylaxis.",Consult a Doctor,one or two weeks after starting a new medication.
Peptic ulcer disease,"Antibiotic medications to kill H. pylori. ...
Medications that block acid production and promote healing. ...
Medications to reduce acid production. ...
Antacids that neutralize stomach acid. ...
Medications that protect the lining of your stomach and small intestine.","Your doctor will use information from your medical history, a physical exam, and tests to diagnose an ulcer and its cause. The presence of an ulcer can only be determined by looking directly at the stomach with endoscopy or an X-ray test.","Uncomplicated gastric ulcers take up to two or three months to heal completely. Duodenal ulcers take about six weeks to heal. An ulcer can temporarily heal without antibiotics. But it is common for an ulcer to recur or for another ulcer to form nearby, if the bacteria are not killed."
AIDS,"HIV medicine is called antiretroviral therapy (ART).
There is no effective cure for HIV. But with proper medical care, you can control HIV.
Most people can get the virus under control within six months.
Taking HIV medicine does not prevent transmission of other sexually transmitted diseases.","Blood tests are the most common way to diagnose the human immunodeficiency virus (HIV), the virus that causes acquired immunodeficiency syndrome (AIDS). These tests look for antibodies to the virus that are present in the blood of infected individuals. People exposed to the virus should get tested immediately.",Most people can get the virus under control within six months.
Diabetes ,"Metformin (Fortamet, Glumetza, others) is generally the first medication prescribed for type 2 diabetes. It works primarily by lowering glucose production in the liver and improving your body's sensitivity to insulin so that your body uses insulin more effectively.","Your doctor will have you take one or more of the following blood tests to confirm the diagnosis:
A1C Test. The A1C test measures your average blood sugar level over the past 2 or 3 months. ...
Fasting Blood Sugar Test. ...
Glucose Tolerance Test. ...
Random Blood Sugar Test. ...
Glucose Screening Test. ...
Glucose Tolerance Test.
","Although there's no cure for type 2 diabetes, studies show it's possible for some people to reverse it. Through diet changes and weight loss, you may be able to reach and hold normal blood sugar levels without medication. This doesn't mean you're completely cured. Type 2 diabetes is an ongoing disease."
Gastroenteritis,"In some cases, adults can take over-the-counter medicines such as loperamide (Imodium) and bismuth subsalicylate (Pepto-Bismol, Kaopectate) to treat diarrhea caused by viral gastroenteritis. These medicines can be unsafe for infants and children. Talk with a doctor before giving your child an over-the-counter medicine.",self-diagnosable,one to three days
Bronchial Asthma,"Short-acting bronchodilators, such as albuterol, to help open the airway to provide short-term relief.","The main tests used to help diagnose asthma are:
FeNO test – you breathe into a machine that measures the level of nitric oxide in your breath, which is a sign of inflammation in your lungs.
spirometry – you blow into a machine that measures how fast you can breathe out and how much air you can hold in your lungs.",It can take days — or even weeks — to fully recover.
